,0
ASSAULT_count,1668.0763182342052
DRUG OFFENSE_count,1643.8291256725788
EXTORTION_count,1580.5770684033632
ILLEGAL POSSESSION_count,1573.8820344358683
VEHICLE - STOLEN_count,1503.6297015845776
ROBBERY_count,1470.044415473938
KIDNAPPING_count,1414.5222211182117
FRAUD_count,1412.8592629134655
COUNTERFEITING_count,1348.45139439404
CYBERCRIME_count,1324.4756034612656
VANDALISM_count,1252.4325175136328
SHOPLIFTING_count,1188.174783796072
ARSON_count,1170.4483665470034
DOMESTIC VIOLENCE_count,1131.1882582083344
TRAFFIC VIOLATION_count,1056.6471397019923
BURGLARY_count,1053.697408348322
HOMICIDE_count,1033.543592080474
FIREARM OFFENSE_count,956.0567672962788
PUBLIC INTOXICATION_count,867.1614630270051
SEXUAL ASSAULT_count,851.1374522019178
IDENTITY THEFT_count,659.2823887579143
